"id","data_provider_id","data_resource_id","institution_code_id","collection_code_id","caralogue_number_id","rank_name","specie_name","genus_name","family_name","order_name","class_name","phylum_name","kingdom_name","specie_id","genus_id","family_id","order_id","class_id","phylum_id","kingdom_id","rank_id","latitude","longitude","iso_country_code","year_created","month_created","occurrence_date","basis_of_record","basis_of_record_name","altitude_metres","IsInRangeLongitude","IsInRangeLatitude","IsInRange","IsWithin","IsIndian","UID","IS_UNIQUE"
47513185,92,1430,7973,801126,40490414,"genus","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,6000,11.25,77.33000183,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,73,FALSE
42254230,92,1430,7973,801126,40482611,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.25,78.18000031,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,74,TRUE
42254234,92,1430,7973,801126,40482613,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.31999969,77.90000153,"IN","null","null","null",0,"unknown","200",1,1,1,1,1,75,TRUE
42254228,92,1430,7973,801126,40482610,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.38000011,78.25,"IN","null","null","null",0,"unknown","255",1,1,1,1,1,76,TRUE
42254226,92,1430,7973,801126,40482609,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.42000008,78.22000122,"IN","null","null","null",0,"unknown","385",1,1,1,1,1,77,TRUE
42254225,92,1430,7973,801126,40482608,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.47000027,78.27999878,"IN","null","null","null",0,"unknown","400",1,1,1,1,1,78,TRUE
42254223,92,1430,7973,801126,40482607,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.47999954,78.47000122,"IN","null","null","null",0,"unknown","230",1,1,1,1,1,79,TRUE
42254152,92,1430,7973,801126,40482555,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.52000046,79.18000031,"IN","null","null","null",0,"unknown","70",1,1,1,1,1,80,TRUE
42254238,92,1430,7973,801126,40482615,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.63000011,77.84999847,"IN","null","null","null",0,"unknown","215",1,1,1,1,1,81,TRUE
42254154,92,1430,7973,801126,40482556,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.63000011,78.87000275,"IN","null","null","null",0,"unknown","140",1,1,1,1,1,82,TRUE
